Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca0012h-sa-1000000-n5
Airfoil,naca0012h-sa
Reynolds number,1000000
Ncrit,5
Mach,0
Max Cl/Cd,81.8901
Max Cl/Cd alpha,9
Url,http://airfoiltools.com/polar/csv?polar=xf-naca0012h-sa-1000000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
9.000,1.0138,0.01238,0.00638,0.0023,0.0573,1.0000
9.250,1.0365,0.01267,0.00665,0.0034,0.0554,1.0000
9.500,1.0590,0.01298,0.00695,0.0045,0.0533,1.0000
9.750,1.0823,0.01323,0.00722,0.0054,0.0520,1.0000
10.000,1.1056,0.01351,0.00752,0.0063,0.0504,1.0000
10.250,1.1288,0.01384,0.00785,0.0071,0.0488,1.0000
10.500,1.1519,0.01420,0.00821,0.0080,0.0472,1.0000
10.750,1.1757,0.01451,0.00854,0.0087,0.0461,1.0000
11.000,1.1994,0.01484,0.00889,0.0094,0.0447,1.0000
11.250,1.2227,0.01520,0.00926,0.0102,0.0433,1.0000
11.500,1.2457,0.01560,0.00967,0.0109,0.0420,1.0000
11.750,1.2684,0.01603,0.01011,0.0117,0.0408,1.0000
12.000,1.2916,0.01639,0.01052,0.0125,0.0400,1.0000
12.250,1.3144,0.01678,0.01094,0.0132,0.0390,1.0000
12.500,1.3366,0.01722,0.01140,0.0140,0.0379,1.0000
12.750,1.3581,0.01770,0.01190,0.0149,0.0368,1.0000
13.000,1.3788,0.01824,0.01246,0.0158,0.0357,1.0000
13.250,1.4002,0.01868,0.01295,0.0167,0.0351,1.0000
13.500,1.4210,0.01916,0.01347,0.0177,0.0344,1.0000
13.750,1.4410,0.01967,0.01403,0.0187,0.0336,1.0000
14.000,1.4600,0.02024,0.01463,0.0198,0.0328,1.0000
14.250,1.4778,0.02086,0.01528,0.0210,0.0319,1.0000
14.500,1.4937,0.02155,0.01601,0.0225,0.0311,1.0000
14.750,1.5082,0.02217,0.01668,0.0242,0.0307,1.0000
15.000,1.5222,0.02281,0.01738,0.0260,0.0301,1.0000
15.250,1.5353,0.02352,0.01815,0.0277,0.0294,1.0000
15.500,1.5473,0.02434,0.01902,0.0293,0.0287,1.0000
15.750,1.5576,0.02529,0.02002,0.0309,0.0279,1.0000
16.000,1.5664,0.02641,0.02119,0.0325,0.0273,1.0000
16.250,1.5736,0.02769,0.02253,0.0339,0.0267,1.0000
16.500,1.5824,0.02892,0.02385,0.0350,0.0264,1.0000
16.750,1.5898,0.03035,0.02536,0.0359,0.0259,1.0000
17.000,1.5954,0.03202,0.02711,0.0366,0.0255,1.0000
17.250,1.5994,0.03398,0.02915,0.0370,0.0250,1.0000
17.500,1.6010,0.03629,0.03155,0.0370,0.0246,1.0000
17.750,1.5999,0.03910,0.03445,0.0366,0.0242,1.0000
18.000,1.5954,0.04251,0.03797,0.0356,0.0239,1.0000
18.250,1.5864,0.04676,0.04234,0.0338,0.0236,1.0000
18.500,1.5711,0.05220,0.04792,0.0311,0.0233,1.0000
18.750,1.5457,0.05953,0.05543,0.0270,0.0232,1.0000
19.000,1.5028,0.07015,0.06628,0.0209,0.0233,1.0000
19.250,1.4343,0.08516,0.08158,0.0126,0.0235,1.0000
